symbol,date,high,low,volume,close,open
ETH-EUR,2021-01-26 10:00:00,1105.8765869140625,1085.006591796875,0,1102.6292724609375,1085.12548828125
ETH-EUR,2021-01-26 11:00:00,1103.20166015625,1084.2960205078125,0,1085.3701171875,1102.3280029296875
ETH-EUR,2021-01-26 12:00:00,1086.643310546875,1056.6068115234375,0,1056.6068115234375,1085.1243896484375
ETH-EUR,2021-01-26 13:00:00,1064.3594970703125,1045.6749267578125,347054080,1059.65380859375,1055.1602783203125
ETH-EUR,2021-01-26 14:00:00,1061.90234375,1031.0289306640625,390983680,1040.966064453125,1059.616943359375
ETH-EUR,2021-01-26 15:00:00,1061.4071044921875,1039.8101806640625,394780672,1060.482421875,1040.876953125
ETH-EUR,2021-01-26 16:00:00,1078.91455078125,1049.6180419921875,0,1078.91455078125,1060.1571044921875
ETH-EUR,2021-01-26 17:00:00,1091.4842529296875,1076.9976806640625,400021504,1091.4842529296875,1078.534423828125
ETH-EUR,2021-01-26 18:00:00,1100.3338623046875,1087.299560546875,212770816,1092.419189453125,1092.309814453125
ETH-EUR,2021-01-26 19:00:00,1112.222900390625,1093.7735595703125,446480384,1101.349365234375,1093.864990234375
ETH-EUR,2021-01-26 20:00:00,1118.8455810546875,1098.4405517578125,61005824,1098.4405517578125,1101.7607421875
ETH-EUR,2021-01-26 21:00:00,1116.0687255859375,1096.6326904296875,0,1100.901611328125,1097.8863525390625
ETH-EUR,2021-01-26 22:00:00,1113.3543701171875,1093.4150390625,0,1113.3543701171875,1100.38134765625
ETH-EUR,2021-01-26 23:00:00,1127.0968017578125,1113.352294921875,357494784,1114.1268310546875,1113.885498046875
ETH-EUR,2021-01-27 00:00:00,1124.6102294921875,1098.5301513671875,0,1103.8455810546875,1115.637451171875
ETH-EUR,2021-01-27 01:00:00,1108.5179443359375,1085.052734375,0,1087.68212890625,1103.7210693359375
ETH-EUR,2021-01-27 02:00:00,1093.4432373046875,1080.2603759765625,0,1080.2603759765625,1087.4544677734375
ETH-EUR,2021-01-27 03:00:00,1079.5057373046875,1073.3397216796875,0,1078.956298828125,1079.5057373046875
ETH-EUR,2021-01-27 04:00:00,1085.1815185546875,1071.1549072265625,0,1082.4539794921875,1078.564697265625
ETH-EUR,2021-01-27 05:00:00,1082.0360107421875,1053.118896484375,210835456,1056.765869140625,1082.0360107421875
ETH-EUR,2021-01-27 06:00:00,1065.35546875,1054.7127685546875,0,1065.35546875,1057.3328857421875
ETH-EUR,2021-01-27 07:00:00,1077.5181884765625,1060.351318359375,0,1073.2576904296875,1065.2647705078125
ETH-EUR,2021-01-27 08:00:00,1072.921630859375,1043.0594482421875,0,1043.184326171875,1072.921630859375
ETH-EUR,2021-01-27 09:00:00,1050.3006591796875,1035.01318359375,748965888,1047.22705078125,1043.29296875
ETH-EUR,2021-01-27 10:00:00,1056.1104736328125,1043.7576904296875,0,1045.2781982421875,1048.103515625
ETH-EUR,2021-01-27 11:00:00,1071.2886962890625,1035.7406005859375,587214848,1035.7406005859375,1046.0933837890625
ETH-EUR,2021-01-27 12:00:00,1048.9864501953125,1033.5517578125,120532992,1048.78955078125,1035.8509521484375
ETH-EUR,2021-01-27 13:00:00,1056.12890625,1029.4510498046875,0,1029.4510498046875,1048.2825927734375
ETH-EUR,2021-01-27 14:00:00,1032.186279296875,1007.377197265625,36347904,1016.376220703125,1028.7108154296875
ETH-EUR,2021-01-27 15:00:00,1058.3673095703125,1014.7078247070312,1447624704,1058.3673095703125,1016.437255859375
ETH-EUR,2021-01-27 16:00:00,1080.170166015625,1056.5650634765625,0,1056.6822509765625,1059.5252685546875
ETH-EUR,2021-01-27 17:00:00,1058.904541015625,1029.8607177734375,0,1038.3013916015625,1055.830078125
ETH-EUR,2021-01-27 18:00:00,1039.319580078125,1013.7928466796875,0,1013.7928466796875,1037.0802001953125
ETH-EUR,2021-01-27 19:00:00,1054.0374755859375,1013.022216796875,900153344,1050.729248046875,1014.5804443359375
ETH-EUR,2021-01-27 20:00:00,1070.9862060546875,1046.74462890625,662939648,1062.5001220703125,1050.646484375
