symbol,date,low,close,open,volume,high
BTC-EUR,2021-01-27 06:00:00,25885.34375,26096.9375,25953.962890625,0,26103.248046875
BTC-EUR,2021-01-27 07:00:00,26031.40625,26132.970703125,26097.748046875,673112064,26206.048828125
BTC-EUR,2021-01-27 08:00:00,25748.013671875,25783.203125,26134.939453125,0,26181.81640625
BTC-EUR,2021-01-27 09:00:00,25548.390625,25751.708984375,25778.494140625,1284411392,25779.58203125
BTC-EUR,2021-01-27 10:00:00,25752.935546875,25787.361328125,25760.677734375,0,25895.900390625
BTC-EUR,2021-01-27 11:00:00,25376.28515625,25376.28515625,25796.669921875,532922368,26077.181640625
BTC-EUR,2021-01-27 12:00:00,25202.03125,25523.595703125,25370.505859375,637853696,25523.595703125
BTC-EUR,2021-01-27 13:00:00,25141.466796875,25141.466796875,25514.630859375,11847921664,25605.814453125
BTC-EUR,2021-01-27 14:00:00,24329.642578125,24519.798828125,25136.10546875,431226880,25219.685546875
BTC-EUR,2021-01-27 15:00:00,24502.2421875,25183.943359375,24531.234375,2567790592,25183.943359375
BTC-EUR,2021-01-27 16:00:00,25079.5390625,25358.787109375,25177.138671875,0,25588.341796875
BTC-EUR,2021-01-27 17:00:00,24962.626953125,25173.50390625,25353.1796875,142966784,25422.396484375
BTC-EUR,2021-01-27 18:00:00,24513.865234375,24548.7890625,25154.33984375,0,25195.408203125
BTC-EUR,2021-01-27 19:00:00,24544.388671875,25444.25390625,24554.59765625,1585053696,25444.25390625
BTC-EUR,2021-01-27 20:00:00,25350.8125,26047.845703125,25437.0,2213507072,26047.845703125
BTC-EUR,2021-01-27 21:00:00,25506.302734375,25622.80078125,26065.701171875,178843648,26132.916015625
BTC-EUR,2021-01-27 22:00:00,25164.087890625,25299.208984375,25598.3359375,604377088,25645.462890625
BTC-EUR,2021-01-27 23:00:00,24971.052734375,25101.00390625,25298.93359375,385593344,25345.048828125
BTC-EUR,2021-01-28 00:00:00,24828.380859375,25315.373046875,25144.740234375,495042560,25315.373046875
BTC-EUR,2021-01-28 01:00:00,25192.0,25465.587890625,25315.96484375,291692544,25465.587890625
BTC-EUR,2021-01-28 02:00:00,25476.380859375,25711.8984375,25476.380859375,882343936,25746.9921875
BTC-EUR,2021-01-28 03:00:00,25689.873046875,26044.275390625,25706.814453125,1141075968,26059.287109375
BTC-EUR,2021-01-28 04:00:00,25816.748046875,25938.8671875,26038.24609375,128139264,26080.373046875
BTC-EUR,2021-01-28 05:00:00,25764.1953125,26165.728515625,25933.06640625,388272128,26165.728515625
BTC-EUR,2021-01-28 06:00:00,26102.84765625,26102.84765625,26194.865234375,989167616,26361.890625
BTC-EUR,2021-01-28 07:00:00,25779.40234375,25794.6875,26110.3125,0,26140.28125
BTC-EUR,2021-01-28 08:00:00,25665.60546875,25741.021484375,25783.19140625,0,25832.447265625
BTC-EUR,2021-01-28 09:00:00,25552.173828125,26045.583984375,25745.310546875,8648658944,26045.583984375
BTC-EUR,2021-01-28 10:00:00,25877.015625,26118.916015625,26052.11328125,881885184,26195.728515625
BTC-EUR,2021-01-28 11:00:00,26015.576171875,26021.91015625,26137.54296875,0,26204.533203125
BTC-EUR,2021-01-28 12:00:00,26031.7578125,26184.888671875,26031.7578125,0,26269.765625
BTC-EUR,2021-01-28 13:00:00,25972.525390625,26311.677734375,26194.59765625,0,26369.578125
BTC-EUR,2021-01-28 14:00:00,26267.55859375,26425.98828125,26308.373046875,0,26558.80078125
BTC-EUR,2021-01-28 15:00:00,26350.88671875,26562.521484375,26416.09765625,0,26597.046875
BTC-EUR,2021-01-28 16:00:00,26331.197265625,26837.501953125,26568.6875,0,26838.779296875
BTC-EUR,2021-01-28 17:00:00,26711.578125,26767.990234375,26836.396484375,0,26873.79296875
BTC-EUR,2021-01-28 18:00:00,26636.73046875,26981.04296875,26768.0859375,1467965440,26982.900390625
BTC-EUR,2021-01-28 19:00:00,26937.26171875,27013.99609375,26977.998046875,179302400,27063.58984375
BTC-EUR,2021-01-28 20:00:00,26919.619140625,27014.8359375,27015.5703125,30023680,27198.798828125
BTC-EUR,2021-01-28 21:00:00,27013.822265625,27499.826171875,27013.822265625,1259900928,27507.125
BTC-EUR,2021-01-28 22:00:00,27498.7265625,27670.04296875,27501.693359375,1582383104,27670.04296875
BTC-EUR,2021-01-28 23:00:00,27548.869140625,27608.1796875,27667.42578125,1882091520,27932.333984375
BTC-EUR,2021-01-29 00:00:00,27610.498046875,28342.8984375,27610.498046875,4503982080,28394.607421875
BTC-EUR,2021-01-29 01:00:00,27984.322265625,28099.23046875,28344.9921875,840773632,28416.701171875
BTC-EUR,2021-01-29 02:00:00,28023.736328125,28102.3203125,28104.908203125,1720807424,28352.2421875
BTC-EUR,2021-01-29 03:00:00,27955.01953125,28071.759765625,28109.421875,2991792128,28308.408203125
BTC-EUR,2021-01-29 04:00:00,27170.349609375,27358.6953125,28065.0546875,0,28220.693359375
BTC-EUR,2021-01-29 05:00:00,27142.396484375,27303.8125,27353.8359375,3149721600,27392.26171875
BTC-EUR,2021-01-29 06:00:00,26809.6953125,26809.6953125,27295.68359375,278740992,27305.720703125
BTC-EUR,2021-01-29 07:00:00,26493.744140625,26622.873046875,26830.4921875,1192349696,26915.423828125
BTC-EUR,2021-01-29 08:00:00,26527.166015625,29242.755859375,26629.322265625,5527040000,29242.755859375
BTC-EUR,2021-01-29 09:00:00,29057.0859375,30346.369140625,29344.119140625,14050967552,31060.03515625
BTC-EUR,2021-01-29 10:00:00,29427.31640625,30210.744140625,30373.572265625,3815391232,30515.916015625
BTC-EUR,2021-01-29 11:00:00,30109.421875,30398.11328125,30210.3203125,4446126080,30573.626953125
BTC-EUR,2021-01-29 12:00:00,30205.767578125,31036.7578125,30424.669921875,2599542784,31039.23046875
BTC-EUR,2021-01-29 13:00:00,30691.78125,31616.341796875,31064.375,3742752768,31616.341796875
BTC-EUR,2021-01-29 14:00:00,30285.4609375,30533.115234375,31591.423828125,964304896,31591.423828125
BTC-EUR,2021-01-29 15:00:00,30438.591796875,30564.34765625,30533.865234375,0,30836.6015625
BTC-EUR,2021-01-29 16:00:00,29714.16015625,29765.34765625,30551.185546875,0,30864.73046875
BTC-EUR,2021-01-29 17:00:00,29442.08203125,29494.685546875,29764.724609375,1051361280,29941.25
BTC-EUR,2021-01-29 18:00:00,28693.017578125,28949.478515625,29447.58203125,1293262848,29618.205078125
